study_id,bib_key,doi,year,title,source,cancer_domain,primary_task,artifact_qc_strategy,normalization_policy,partitioning_policy,storage_governance,ensemble_postprocessing,code_url,rq_tags,chapter_summary,markdown_file,raw_process_status
10.1038_s41467-025-57717-6,sysrev_10_1038_s41467_025_57717_6,10.1038/s41467-025-57717-6,2025,Histopathology based AI model predicts anti-angiogenic therapy response in renal cancer clinical trial,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,normalização de coloração mencionada,separação por paciente,código público,não central,https://github.com/Rajaram-Lab/dl-angio-from-hne,"RQ1, RQ2, RQ3",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-025-57717-6.md,VERDICT_GENERATED
10.1038_s41467-025-57943-y,sysrev_10_1038_s41467_025_57943_y,10.1038/s41467-025-57943-y,2025,Statistical analysis of spatial patterns in tumor microenvironment images,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,não especificada,separação por paciente,governança não detalhada,ensemble/incerteza discutido,Não localizado na conversão textual,"RQ1, RQ2, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-025-57943-y.md,VERDICT_GENERATED
10.1038_s41467-025-61349-1,sysrev_10_1038_s41467_025_61349_1,10.1038/s41467-025-61349-1,2025,Automated cell annotation and classi fi cation on histopathology for spatial biomarker discovery,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de coloração mencionada,divisão treino/validação/teste descrita,código público,não central,https://github.com/stardist/stardist,"RQ1, RQ2, RQ3",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41467-025-61349-1.md,VERDICT_GENERATED
10.1038_s41467-025-64249-6,sysrev_10_1038_s41467_025_64249_6,10.1038/s41467-025-64249-6,2025,Uncertainty-aware ensemble of foundation models differentiates glioblastoma from its mimics,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,separação por paciente,manifest,ensemble/incerteza discutido,https://github.com/hmsdbmi/picture,"RQ1, RQ2, RQ3, RQ4",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41467-025-64249-6.md,VERDICT_GENERATED
10.1038_s41467-025-65783-z,sysrev_10_1038_s41467_025_65783_z,10.1038/s41467-025-65783-z,2025,AI-powered spatial cell phenomics enhances risk strati fi cation in non-small cell lung cancer,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,separação por paciente,manifest,ensemble/incerteza discutido,https://github.com/gabrieldernbach/cell_niches,"RQ1, RQ2, RQ3, RQ4",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41467-025-65783-z.md,VERDICT_GENERATED
10.1038_s41467-025-66889-0,sysrev_10_1038_s41467_025_66889_0,10.1038/s41467-025-66889-0,2025,Adaptive compression framework for giga-pixel whole slide images,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,divisão treino/validação/teste descrita,código público,não central,https://github.com/Path,"RQ1, RQ2, RQ3",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41467-025-66889-0.md,VERDICT_GENERATED
10.1038_s41523-024-00663-1,sysrev_10_1038_s41523_024_00663_1,10.1038/s41523-024-00663-1,2024,A panoptic segmentation dataset and deep-learning approach for explainable scoring of tumor-in fi ltrating lymphocytes,SPRINGER,mama,prognóstico / estratificação de risco,segmentação de tecido/fundo,normalização de cor descrita,separação por paciente,código público,não central,https://github.com/PathologyDataScience/MuTILs_Panoptic,"RQ1, RQ2, RQ3",Contribui com evidência sobre segmentação supervisionada em câncer.,10.1038_s41523-024-00663-1.md,VERDICT_GENERATED
10.1038_s41551-022-00929-8,sysrev_10_1038_s41551_022_00929_8,10.1038/s41551-022-00929-8,2022,Fast and scalable search of whole-slide images via self-supervised deep learning,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,código público,ensemble/incerteza discutido,https://github.com/mahmoodlab/SISH,"RQ1, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41551-022-00929-8.md,VERDICT_GENERATED
10.1038_s41551-025-01516-3,sysrev_10_1038_s41551_025_01516_3,10.1038/s41551-025-01516-3,2025,Benchmarking foundation models as feature extractors for weakly supervised computational pathology,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de coloração mencionada,separação por paciente,código público,ensemble/incerteza discutido,Não localizado na conversão textual,"RQ1, RQ2, RQ3, RQ4",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41551-025-01516-3.md,VERDICT_GENERATED
10.1038_s41591-021-01620-2,sysrev_10_1038_s41591_021_01620_2,10.1038/s41591-021-01620-2,2021,Artificial intelligence for diagnosis and Gleason grading of prostate cancer: the PANDA challenge,SPRINGER,pulmão,segmentação,controle de qualidade ou artefatos explicitado,não especificada,separação por paciente,código público,ensemble/incerteza discutido,https://github.com/DIAGNijmegen/panda-challenge,"RQ1, RQ2, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41591-021-01620-2.md,VERDICT_GENERATED
10.1038_s41591-025-03780-x,sysrev_10_1038_s41591_025_03780_x,10.1038/s41591-025-03780-x,2025,Real-world deployment of a fine-tuned pathology foundation model for lung cancer biomarker detection,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,código público,não central,https://github.com/chadvanderbilt/EAGLE,"RQ1, RQ3",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41591-025-03780-x.md,VERDICT_GENERATED
10.1038_s41591-025-03982-3,sysrev_10_1038_s41591_025_03982_3,10.1038/s41591-025-03982-3,2025,A multimodal whole-slide foundation model for pathology,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,não especificada,separação por paciente,código público,ensemble/incerteza discutido,https://github.com/mahmoodlab/TITAN,"RQ1, RQ2, RQ3, RQ4",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41591-025-03982-3.md,VERDICT_GENERATED
10.1038_s41592-021-01308-y,sysrev_10_1038_s41592_021_01308_y,10.1038/s41592-021-01308-y,2021,BRIEF COMMUNICATION,SPRINGER,pulmão,segmentação,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,nextflow,ensemble/incerteza discutido,https://github.com/labsyspharm/mcmicro,"RQ1, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41592-021-01308-y.md,VERDICT_GENERATED
10.1038_s41592-025-02707-1,sysrev_10_1038_s41592_025_02707_1,10.1038/s41592-025-02707-1,2025,A visual-omics foundation model to bridge histopathology with spatial transcriptomics,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,código público,não central,https://github.com/GuangyuWangLab2021/Loki/,"RQ1, RQ3",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41592-025-02707-1.md,VERDICT_GENERATED
10.1038_s41592-025-02795-z,sysrev_10_1038_s41592_025_02795_z,10.1038/s41592-025-02795-z,2025,Spatial gene expression at single-cell resolution from histology using deep learning with GHIST,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,divisão treino/validação/teste descrita,código público,ensemble/incerteza discutido,https://github.com/SydneyBioX/GHIST/,"RQ1, RQ2, RQ3, RQ4",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41592-025-02795-z.md,VERDICT_GENERATED
10.1038_s41597-020-00756-z,sysrev_10_1038_s41597_020_00756_z,10.1038/s41597-020-00756-z,2020,a completely annotated whole slide image dataset of canine breast cancer to aid human breast cancer research,SPRINGER,mama,segmentação,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,sqlite,não central,https://github.com/DeepPathology/MITOS_WSI_CMC/,"RQ1, RQ3",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41597-020-00756-z.md,VERDICT_GENERATED
10.1038_s41597-020-0528-1,sysrev_10_1038_s41597_020_0528_1,10.1038/s41597-020-0528-1,2020,Dataset of segmented nuclei in hematoxylin and eosin stained histopathology images of ten cancer types,SPRINGER,pulmão,segmentação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,divisão treino/validação/teste descrita,governança não detalhada,não central,Não localizado na conversão textual,"RQ1, RQ2",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41597-020-0528-1.md,VERDICT_GENERATED
10.1038_s41597-025-05586-5,sysrev_10_1038_s41597_025_05586_5,10.1038/s41597-025-05586-5,2025,Comprehensive Benchmark Dataset for Pathological Lymph Node Metastasis in Breast Cancer Sections,SPRINGER,mama,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,não especificada,separação por paciente,código público,não central,https://github.com/lingxitong/MIL_BASELINE,"RQ1, RQ2, RQ3",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41597-025-05586-5.md,VERDICT_GENERATED
10.1038_s41597-025-05679-1,sysrev_10_1038_s41597_025_05679_1,10.1038/s41597-025-05679-1,2025,a fully annotated pathology slide dataset for early gastric cancer and precancerous lesions,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,não especificada,separação por paciente,código público,não central,https://github.com/JSGe-AI/HiESD,"RQ1, RQ2, RQ3",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41597-025-05679-1.md,VERDICT_GENERATED
10.1038_s41598-023-42045-w,sysrev_10_1038_s41598_023_42045_w,10.1038/s41598-023-42045-w,2023,A deep learning model to triage and predict adenocarcinoma on pancreas cytology whole slide imaging,SPRINGER,pulmão,segmentação,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,hdf5,pós-processamento descrito,https://github.com/ansoh,"RQ1, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41598-023-42045-w.md,VERDICT_GENERATED
10.1038_s41698-023-00491-9,sysrev_10_1038_s41698_023_00491_9,10.1038/s41698-023-00491-9,2023,Cancer drug sensitivity prediction from routine histology images,SPRINGER,pulmão,prognóstico / estratificação de risco,segmentação de tecido/fundo,normalização de coloração mencionada,divisão treino/validação/teste descrita,manifest,não central,https://github.com/engrodawood/HiDS,"RQ1, RQ2, RQ3",Contribui com evidência sobre segmentação supervisionada em câncer.,10.1038_s41698-023-00491-9.md,VERDICT_GENERATED
10.1038_s41698-024-00766-9,sysrev_10_1038_s41698_024_00766_9,10.1038/s41698-024-00766-9,2024,Deep learning for endometrial cancer subtyping and predicting tumor mutational burden from histopathological slides,SPRINGER,pulmão,prognóstico / estratificação de risco,segmentação de tecido/fundo,normalização de coloração mencionada,divisão treino/validação/teste descrita,hdf5,ensemble/incerteza discutido,https://github.com/cwwang1979/TR-MAMIL_EndometrialCancer_,"RQ1, RQ2, RQ3, RQ4",Reforça a importância de contratos de dados e execução reprodutível.,10.1038_s41698-024-00766-9.md,VERDICT_GENERATED
10.1038_s41698-025-00808-w,sysrev_10_1038_s41698_025_00808_w,10.1038/s41698-025-00808-w,2025,Histopathology and proteomics are synergistic for high-grade serous ovarian cancer platinum response prediction,SPRINGER,mama,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de coloração mencionada,separação por paciente,manifest,ensemble/incerteza discutido,https://github.com/csabaiBio/HGSOC_platinum_response,"RQ1, RQ2, RQ3, RQ4",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41698-025-00808-w.md,VERDICT_GENERATED
10.1038_s41746-025-01496-3,sysrev_10_1038_s41746_025_01496_3,10.1038/s41746-025-01496-3,2025,Self supervised arti fi cial intelligence predicts poor outcome from primary cutaneous squamous cell carcinoma at diagnosis,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,normalização de cor descrita,divisão treino/validação/teste descrita,código público,não central,https://github.com/ncoudray/DeepPATH,"RQ1, RQ2, RQ3",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41746-025-01496-3.md,VERDICT_GENERATED
10.1038_s41746-025-02003-4,sysrev_10_1038_s41746_025_02003_4,10.1038/s41746-025-02003-4,2025,HONeYBEE: enabling scalable multimodal AI in oncology through foundation modeldriven embeddings,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,separação por paciente,código público,ensemble/incerteza discutido,https://github.com/lab-rasool/HoneyBeeunder,"RQ1, RQ2, RQ3, RQ4",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41746-025-02003-4.md,VERDICT_GENERATED
10.1038_s41746-025-02027-w,sysrev_10_1038_s41746_025_02027_w,10.1038/s41746-025-02027-w,2025,PathOrchestra: a comprehensive foundation model for computational pathology with over 100 diverse clinicalgrade tasks,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,não especificada,separação por paciente,código público,não central,https://github.com/yanfang-research/PathOrchestra,"RQ1, RQ2, RQ3",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41746-025-02027-w.md,VERDICT_GENERATED
10.1038_s41746-025-02282-x,sysrev_10_1038_s41746_025_02282_x,10.1038/s41746-025-02282-x,2025,Interpretable multimodal deep learning improves postoperative risk strati fi cation in intrahepatic cholangiocarcinoma in multicentre cohorts,SPRINGER,mama,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,separação por paciente,hdf5,ensemble/incerteza discutido,https://github.com/wmy123-zju/ICC-PPS,"RQ1, RQ2, RQ3, RQ4",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41746-025-02282-x.md,VERDICT_GENERATED
10.1038_s42003-024-07398-6,sysrev_10_1038_s42003_024_07398_6,10.1038/s42003-024-07398-6,2024,A deep learning framework deploying segment anything to detect pan-cancer mitotic fi gures from haematoxylin and eosin-stained slides,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,código público,ensemble/incerteza discutido,https://github.com/SZY1234567/OMG-Net,"RQ1, RQ3, RQ4",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s42003-024-07398-6.md,VERDICT_GENERATED
10.1038_s42256-024-00889-5,sysrev_10_1038_s42256_024_00889_5,10.1038/s42256-024-00889-5,2024,Accelerating histopathology workflows with generative AI-based virtually multiplexed tumour profiling,SPRINGER,pulmão,prognóstico / estratificação de risco,segmentação de tecido/fundo,normalização de cor descrita,separação por paciente,código público,pós-processamento descrito,https://github.com/AI4SCR/VirtualMultiplexer,"RQ1, RQ2, RQ3, RQ4",Contribui com evidência sobre segmentação supervisionada em câncer.,10.1038_s42256-024-00889-5.md,VERDICT_GENERATED
